,ERR594391,ERR594354,ERR594389,ERR599121,ERR599118,ERR594392,ERR594380,ERR594404,ERR599023,ERR594415,ERR599122,ERR594364,ERR594355,ERR594379,ERR599110,ERR599133,ERR599146,ERR599017,ERR599126,ERR594407,ERR599005,ERR599165,ERR594353,ERR598984,ERR594382,ERR594377,ERR594412,ERR594362,ERR594359,ERR599148,ERR594409,ERR599173,ERR594388,ERR599150,ERR598982,ERR599144,ERR594385,ERR599006,ERR599044,ERR599174,ERR599065,ERR594411
ERR594379__vRhyme_bin_57,0.5046525,0,0,0,0,0,0,0,0,4.781918,0,0,0,15.528083,0,0,0,0,0,0,0,0,4.7537093,0,0,0,0,0,0,0,0,0,0.50289214,0,0,0,2.5796797,0,0,0,0,0
ERR594385__vRhyme_unbinned_150,2.1824708,0.16325654,4.3737965,0,0,9.400104,0,0,1.741446,4.7798314,0,7.0323677,0.38656294,2.772997,0.14408529,0,0.42030606,0,0.5180966,0,0.48396665,0,1.5,5.042942,0.7153542,0,1.2294532,2.5591903,1.1738309,0.3365715,0,0,0.10101444,2.360471,0,0,18.07879,0.26779574,0,0,0,0
ERR594389__vRhyme_unbinned_73,0.998513,0,12.994289,0,0,0,0,0,0,0.1378777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.935344,0,0,0.20550796,0,0,0,0,0,0,0,0,0,0,0
ERR594354__vRhyme_unbinned_612,1.8289915,10.861663,1.4443299,0,0,0,0,0,0,1.3900782,0,0.14169031,7.641475,0.21666236,0,0,0,0,2.819276,0,0,0,0.28363857,0.30031812,0,0,4.2090964,1.6876451,0,3.4424384,0,0,0.526352,0,0,0,0.0909638,0.552575,0,0,0,2.003955
ERR594354__vRhyme_unbinned_250,22.338135,71.966194,12.183773,0,0.4520622,40.53658,0.7561866,0.29161596,0.07579446,29.82123,0,62.87789,74.87167,10.616227,0,0,0,0,4.0486817,0,0.7601758,0.0816092,32.75639,17.006964,11.442326,0,50.367344,10.150846,11.380865,4.1794457,0.092630155,0,117.71995,0.34617984,0,0,28.39743,0.8395538,0,0.06619337,0.32900608,38.68756
ERR594412__vRhyme_unbinned_495,0.09479497,0,1.3356172,0,0.5032212,0,0.14745884,0.83955413,0,0.62787604,0,0,1.4656918,0,0,0,0,0,0,0,0,0,1.2334595,0.18693118,0.14132324,0,39.39646,1.5153902,0.31925556,0,0,0,0.5906534,0,0,0,0.58727884,0,0,0,0.11913284,0
ERR594411__vRhyme_unbinned_117,1.1665584,105.01211,0.37967175,0,0.1937764,1.2581248,0,0,0,0,0,1.659896,113.1395,0,8.342623,0,0,0,7.331654,7.1278844,0.6031037,0,0.13032174,0.24211894,4.8245044,0,1.0898602,1.922002,0.4744069,13.4489765,0,0,7.9968314,0,0,0,0,2.3498538,3.5532174,0,0,50.326374
ERR594354__vRhyme_unbinned_1031,0.35078487,6.9037395,0.29455218,0,0,0.2476916,0,0,0,0.43434903,0,2.0301015,9.481025,0.27391505,0,0,0,0,0,0,0,0,0.3044783,0.24866113,0.07650046,0,0,0.05784857,0.10166205,0.7593721,0,0,0.53199446,0,0,0,0.31486613,0.44150507,0,0,0,6.1673594
ERR594377__vRhyme_unbinned_37,0,0,0,6.536757,0,0,0,0.07582619,0,0,1.8311976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.671936,0,0,0,0,6.7899604,0,0.12120628,0,0,0,0,0,0,0,0,0
ERR594353__vRhyme_unbinned_683,0.16228603,0,0,0,0,0.25297734,0,0,0.27321967,0.1382938,0,0,0.08218465,0.5395993,0,0,0,0,0.4095691,0,0,7.3438077,46.597202,0,0,0,0,0,0,1.4115483,0,0,0,0.3241207,0,0,0.58595186,0.41870072,0,0,0,0
ERR594385__vRhyme_unbinned_366,0,0,0,0,0,8.150415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0156982,0,0,0,1.8874717,0,0,0,0,0.09637736,0,0,8.769812,0,0,0,0,0
ERR594379__vRhyme_unbinned_775,0,0,0,0,0,0,0,0,0,0,0,0,0,25.668894,0,1.5370541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR594388__vRhyme_unbinned_124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39115438,0,0,0,0,0,0,25.384663,0,0,0,0,0,0,0,0,0
ERR594391__vRhyme_unbinned_489,31.453215,1.2765938,26.491905,0.062654346,0,1.646666,0.9420104,9.991951,0,35.56014,0.4346474,0.5090094,1.6931309,1.2795208,0,0,0,0.27311808,0,0,0,0,4.4759903,0.38287753,5.6858134,4.7795663,7.4738865,22.16217,4.7587123,0.17854203,52.98701,0,2.8066404,0,0,0,0.90322876,0,0,0.07381322,0.34711424,8.09293
ERR594388__vRhyme_unbinned_645,0.935455,27.604422,0.4977633,0,0,2.362794,0,0,0,0.64052916,0,15.563395,29.185007,1.424527,0,0,0,0,0.5949003,0,0,0,2.6717792,1.7055215,0.41398263,0,4.8819656,0.53220856,0.237091,0.36886504,0,0,22.872828,0,0,0,0.98114777,0,0,0,0,8.189289
ERR594412__vRhyme_bin_65,0.12504514,0.45055693,0.9179641,0,7.9809694,1.1076602,0,0,0,0,0,1.3026097,0.98509765,0,0,0,0.1433363,0,0.26353088,0,0.2650586,0,3.7424862,4.3165607,0.11798978,0,22.253607,0.3347546,0.5604914,0,0,0,0.088014916,0.4011972,0,0,2.5184093,0.48607677,0,0,5.0619287,0
ERR594359__vRhyme_unbinned_98,1.533033,10.8176,1.666732,0,0,11.2171955,0,0,0,2.6435566,0,12.568938,8.604387,11.41807,0,0,0,0,2.5826478,0,0.294686,0,2.050594,8.557122,5.78287,0,0,2.122209,9.354289,0.7711842,0,0,38.92427,0,0,0,35.367737,0,0,0,0,0.5733777
ERR594379__vRhyme_unbinned_805,0.4391563,0,0,0,0,0.0920768,0,0,0,3.4596403,0,0,0.21281774,60.925297,0,0.45842347,0,0,0,0,0,0,0,0,0.33092213,0,0,0.079705246,0.38514063,0,0,0,2.8263927,0,0,0,1.0621958,0,0,0,0,0
ERR598984__vRhyme_unbinned_276,0,0.15058987,0,0,0,0,0,0,0,0,0,3.356102,0.087835826,0,0,0,0,0,0,0,0,0,0,5.4368,0,0,0,0,0,0,0,0,3.3767226,0,0,0,0,0,0,0,0,0
ERR594385__vRhyme_unbinned_250,0.13858695,0,4.8127174,0,0,3.824674,0,0,0,0.20054348,0,0,0.11880435,0,0,0,0.32815218,0,0,0,0,0,0.14456522,0,0.42989132,0,0,0.52184784,2.0167391,0,0,0,0,0.13847826,0,0,11.852174,0,0,0,0,0
ERR594388__vRhyme_unbinned_302,0,0,0,0,0,1.2173533,0,0,0,0,0,12.015899,0,0,0,0,0,0,0,0,0,0,0.6061076,1.7001454,1.4158992,0,4.014445,0,1.1287446,0,0,0,21.07048,0,0,0,5.587494,0,0,0,0,0
ERR594379__vRhyme_unbinned_962,0,0,0,0,0,0,0,0,0,0,0,0,0,9.563083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07430604,0,0,0,0,0,0,0,0,0
ERR594362__vRhyme_unbinned_448,5.7248363,0.580607,16.87721,0,0,1.2132118,0,1.691633,0,7.7956285,0,0.2539329,1.7256021,5.595921,0,0,0,0,0,0.15035501,0,0,4.200334,0.086593345,0.8148406,3.7475288,0.6605875,33.358418,0.6951135,0,4.0862455,0,2.0187247,0,0,0,5.037171,0.13260476,0,0,0,1.3009188
ERR594362__vRhyme_unbinned_312,0,0,7.704786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5131545,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR594412__vRhyme_bin_111,0,0,0,0,1.0937403,0.21817493,0,0,0,0,0,0,0.614736,0,0,0,0,0,0,0,0,0,0,0,0.7102527,0,20.146769,0,0.24555337,0,0,0,0,0,0,0,0,0,0,0,0,0.33275703
ERR594409__vRhyme_unbinned_487,0,0,0,0,0,0,0,0,0,0,13.9741335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.04533,0,0,0,0,0,0,0,0,0,0,0
ERR594359__vRhyme_unbinned_318,0.50731254,0,0.58106005,0,0,0.87688,0,0,0,1.3413546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1590085,0,0,0.33326417,5.6412196,0,0,0,0,0,0,0,8.544342,0,0,0,0,0
ERR599110__vRhyme_unbinned_14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.959227,0,16.366959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69137776,0,0,0,0,0,0,0,0
ERR594392__vRhyme_unbinned_290,0.72634923,8.0535145,4.649977,0,0,37.74585,0,0,0,1.0492517,0,13.10068,7.9860315,6.989025,0,0,0,0,0.10530612,0,0,0,5.5954647,2.046712,15.958912,0,1.378322,5.2517915,13.859501,0.067301586,0,0,30.578775,0,0,0,48.96227,0,0,0,0,1.6278458
ERR594364__vRhyme_unbinned_33,0.09832195,0.12279078,0.21383908,0,0,0.6084987,0,0,0,0.09915141,0,17.369202,0.24644293,3.2916481,0,0,0,0,0,0,1.5879858,0,3.0064123,17.501339,0.2381484,0,0,0,0.70503414,0.20809673,0,0,7.251292,0.085561156,0,0,2.8412237,0.1166018,0,0,0,0
ERR594355__vRhyme_bin_134,0.28531337,7.529233,0,0,0,0,0,0,0,0.859261,0,0,9.534916,0,0,0,0,0,0,0,0,0,0.13348924,0,0,0,0,0,0,0,0,0,0.28566417,0,0,0,0.14090271,0,0,0,0,1.6434051
ERR594364__vRhyme_unbinned_698,0,0.18529911,0.21356598,0,0,0.6324777,0,0,0,0,0,21.839945,0.13905388,0.23621128,0,0.1246818,0,0,0.14027365,0,4.6913447,0,0.11699194,20.235521,0,0,0.0678829,0,0,0,0,0,0.2523865,0.2186572,0,0,0.3257849,0.0783305,0,0,0,0
ERR599110__vRhyme_unbinned_1,0,0,0,0,0.18171062,0,0,0,0.22402525,0,0,0,0,0,12.010931,0,12.186669,0,0,0,0,0,0,0,0,0,0,0,0.062485915,0,0,0.057245888,0,1.4996619,0,0,0,2.714334,0,0,0,0
ERR594377__vRhyme_unbinned_379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15369634,0,0,0,0,0,26.217184,0,0,0,0,0.07758822,0,6.1062555,0,0,0,0,0,0,0,0,0
ERR594388__vRhyme_unbinned_745,2.1808593,4.4344277,1.0755221,0,0,0.9407918,0,0,0,2.7787075,0,1.4983475,6.7086,58.2137,0,0.18205471,0,0,0.1736868,0,0,0,7.3652344,0.600661,0.36150762,0.25652206,0,0.97784966,0.2525139,0.89522535,0.76415163,0,6.9276423,0,0,0,2.952746,0.30736235,0,0,0,9.357922
ERR594391__vRhyme_unbinned_606,15.907702,0,0.099933185,0,0,0,0,0.19929369,0,9.708695,0,0,0,0,0,0,0,0.54137635,0,0,0,0,0.094683595,0,0,0.4109955,0,0.21074735,0,0,0.8125418,0,0,0,0,0,0,0,0,0.32060704,0,0
ERR594359__vRhyme_unbinned_235,0.26291046,3.5740502,0.7925988,0,0,16.076363,0,0,0.13020399,0.47099417,0,7.808296,3.0757563,0.75354517,0,0,0.0989611,0,1.0869038,0,0.58246756,0,3.193903,9.1573515,18.427542,0,0.883825,0.3730189,29.658678,1.5087587,0,0,13.043224,1.0096307,0,0,14.919846,0,0,0,0,2.0615
ERR594379__vRhyme_unbinned_360,0,0,0,0,0,0,0,0,0,0,0,0,0,166.19418,0,0.39297718,0,0,0,0,0,0,0,0.14033614,0,0,0,0,0,0,0,0,3.4303722,0,0,0,0,0,0,0,0,0
ERR599150__vRhyme_bin_7,0,0,0,0,0,0,0,0,9.855933,0,0,0,0,0,6.7623124,0,19.395315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.51726,0,0,0,0,0,0,0,0
ERR594379__vRhyme_unbinned_43,0,0,0,0,0,0,0,0,0,0,0,0,0,16.24092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5454545,0,0,0,0,0,0,0,0,0
ERR594379__vRhyme_unbinned_751,0,0,0,0,0,0,0,0,0,0,0,0.11024908,0,26.898666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0954131,0,0,0,0,0,0,0,0,0
ERR594364__vRhyme_unbinned_678,0.62716293,7.9487624,0.2123144,0,0,2.0874283,0,0,0,0.42811325,0,9.018056,8.849495,8.914116,0,0,0,0,0.5231835,0,0,0,0.80312806,0.68232036,0.36198774,0,3.2955058,0.24319936,0.33716094,0.10999802,0,0,21.119501,0,0,0,1.9302713,0.15592952,0,0,0,12.375411
ERR594404__vRhyme_unbinned_566,0,0,0,0,0,0,0,10.9282465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106930345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR594388__vRhyme_unbinned_874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23810388,0,0,0,0,0,0,0,0,0,0,0,0,19.821241,0,0,0,0,0,0,0,0,0
ERR594362__vRhyme_unbinned_402,0,0,7.832654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1638527,2.6727939,0,0,0,0,16.56367,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR594411__vRhyme_unbinned_373,5.266901,1.487489,1.1611062,0,0,0.15089992,0,0,0,4.606124,0,0.11490343,3.3066287,0,0,0,0,0,0.79609305,0,0,0.082309045,2.5262291,0,0.20906498,0,0,0.953029,0.111391574,0.47717297,0,0,0,0,0,0,0.19139597,2.3934371,0,0,0,20.187117
ERR594389__vRhyme_unbinned_513,25.791254,0.5931576,11.444302,0,0,0.57329506,0,0,0,21.51537,0,0.40601164,1.3043576,0.094328225,0,0,0,0,0,0,0,0,3.7398233,0.10520353,0.20836794,0,0.5546409,12.01805,0.21629786,0,0.09946378,0,0.7633864,0,0,0,0.8420059,0.28895098,0,0,0,8.289556
ERR594411__vRhyme_unbinned_533,0.71557075,5.590447,0.16497256,0,0,0.10578393,0,0,0,2.2647297,0,0.6177026,17.429972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079517856,0,0.55500585,0,0,1.4656832,0,0,0,0,0.17306827,0,0,0,25.28317
ERR594382__vRhyme_unbinned_392,1.1916597,0,4.0329223,0,0,0.617511,0,0.19296476,0,2.9190888,0,0,0.2489026,0,0,0,0,0,0,0,0,0,0,0,6.6515007,0,0,4.333017,5.252343,0,0,0,0,0,0,0,4.714379,0,0,0,0,3.1106894
ERR594404__vRhyme_unbinned_519,0,0,0.2739771,0,0,0,0,9.641162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23518822,0,0,1.0246317,0,0,0,0,0,0,0,6.136334,0,0,0,0,0,0
ERR594353__vRhyme_unbinned_910,0.18584728,0.6850387,0,0,0,0.70842254,0,0,0,1.3028104,0,0,6.026225,0.12666638,0,0,0,0,0,0,0,0,15.735565,0,0.084182,0,0,0,0.3420167,0,0,0,0,0,0,0,0.22509725,0.10079112,0,0,0,0.19624984
ERR594391__vRhyme_unbinned_43,35.514034,5.153785,9.31635,0,0,1.1486039,0,0,0,54.842545,0,0.2935377,11.048072,0.81656593,0,0,0,0,0,0,0,0,16.677677,0.09139321,0.3443437,0,0,6.8836355,0.5498705,0.1925734,0,0,0.19919401,0,0,0,3.0890903,0.33038285,0,0,0,8.140832
ERR594385__vRhyme_unbinned_358,0.11492962,0,0.061010286,0,0,2.0835118,0,0,0,1.0026327,0,0,0.9575245,37.644188,0,0.16358338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4296346,0,0,0,21.90694,0,0,0,0,2.6698494
ERR599122__vRhyme_unbinned_76,0,0,0,0,0,0,0,0,0,0,21.389109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR594411__vRhyme_bin_51,2.9527504,0.84321076,0.41701993,0,0,1.5563449,0,0,0,4.4868975,0,0.2714287,2.0011396,0.5126419,0,0,0,0,0.15338042,0,0,0,2.1580634,0.1378995,0.5431062,0,0.5723132,0.24560702,0.9447696,0.19458555,0,0,0.8592968,0,0,0,1.5371928,0.7725297,0,0,0,13.046439
ERR594355__vRhyme_unbinned_297,0.10595647,6.7858596,0.30062366,0,0,2.1598575,0,0,0,0,0,1.6439481,8.769568,0.44094437,0,0,0,0,0,0,0,0,0.096347205,0.28878707,0.540028,0,0.09787451,0.09246532,0.4367443,0.06160112,0,0,4.3329515,0,0,0,0.060328368,0.08801069,0,0,0,6.388189
ERR594362__vRhyme_unbinned_523,0,0,12.718144,0,0,0,0,0,0,0,0.13659038,0,0,0,0,0,0,0,0,0.24051863,0,0,0.9549773,0.35183758,5.2718787,0,0,22.525217,13.572073,0.65744203,0.3027252,0,0,0,0,0,0,0,3.6025896,0,0,0
ERR594411__vRhyme_unbinned_265,6.032231,6.293244,9.464604,0,0.28039014,2.8384576,0,0,0,8.110451,0,2.1383543,12.47552,1.1105155,0,0,0,0,0.98139775,0,0,0,54.03391,0.12601732,2.0503166,0,37.014015,10.722194,2.0455368,1.3024803,0,0,5.2422814,0,0,0,4.081708,0.15256427,0,0,0.08784395,28.952139
ERR594409__vRhyme_unbinned_363,0,0,0,0,0,0,0,0,0,0,8.545818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.72929,0,0,0,0,0,0,0,0,0,0,0
ERR594391__vRhyme_unbinned_872,6.939481,0.08243657,0,0,0.057853688,0,0,0,0.59532034,0,15.179682,0,3.5562246,0,0.7638464,7.5703425,0,4.7703624,3.9446144,20.270412,30.045809,1.4333103,35.627506,1.1315036,0,0,0,0,0,8.895449,0,0,0,0.170698,0,0,0,0.16339225,85.82032,1.3853292,11.641524,0
ERR594362__vRhyme_unbinned_287,9.100538,0,7.759147,0,0,1.070267,0,0,0,3.7791452,0,0,2.1500385,0.15641138,0,0,0,0,0,0,0,0,2.5300517,0,0.81496537,0,0,8.866388,0.41786617,0,0,0,0.21069114,0,0,0,0,0.069113284,0,0,0,4.8562245
ERR594353__vRhyme_bin_104,1.3707048,2.827846,0.10628649,0,0,0.93854254,0,0,0,0.7233215,0,4.662281,2.3966222,0.3633653,0,0,0,0,0,0,0,0.7830275,11.346883,1.1870309,0.39059633,0,2.9513762,0.16801502,0.45964345,0,0,0,6.982016,0,0,0,0.51094663,0.22858632,0,0,0,2.644735
ERR594385__vRhyme_unbinned_130,0.30979764,0,0,0,0,0.9733586,0,0,0,0.3489591,0,0,0.38717425,6.7510552,0,0,0,0,0,0,0,0,0.08043383,0,0.36686563,0,0,0,0.57490176,0,0,0,0.27798808,0,0,0,17.562819,0,0,0,0,0
ERR594353__vRhyme_unbinned_110,4.425919,3.0224822,1.704736,0,0.1070211,1.2404865,0.21270616,0.27273566,0,7.325348,0,0.87814426,2.3960657,0.8660739,0,0,0,0,0,0,0,0,67.350044,0.54441166,1.0207777,0,10.556436,2.0174606,1.038699,0,0.2711232,0,1.1515249,0,0,0,1.4398783,0.3944992,0,0,0,4.5762
ERR594404__vRhyme_unbinned_708,0,0,0,0,0,0,0,18.791025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5899569,0,0,0,0,0,0,0,0,0,0,0.44557405,0,0,0,0,0,0
ERR594404__vRhyme_unbinned_419,0,0,0,0,0,0,0,12.675123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1068677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERR594412__vRhyme_unbinned_753,0,0,0,0,0.19042294,0,0,0,0,0,0,0,0.5397619,0,0,0,0,0,0,0,0,0,0,0,0,0,24.225021,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41274747,0
ERR594377__vRhyme_unbinned_216,0,0,0,0,0,0,0,1.0987322,0,0,0.8523505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.642656,0,0,0,0,184.81802,0,0,0,0,0,0,0,0,0,0,0
ERR594388__vRhyme_unbinned_473,0.9460335,0.87587696,0.33998922,0,0,1.6534578,0,0,0,1.6614757,0,40.87572,0.72261196,7.9144244,0,0,0,0,0,0,0.70565104,0,2.1279006,14.466657,2.4887056,0.088813506,1.0158045,0.49178937,2.50027,0,0,0,31.92568,0,0,0,6.1625934,0,0,0,0,0.88859767
ERR594359__vRhyme_unbinned_70,0,0,0.49881762,0,0,16.535988,0,0,1.6888856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.280668,0,0.268992,0.38043156,14.066583,0,0,0,0,0.43570796,0,0,11.005764,0,0,0,0,0.18075672
ERR594392__vRhyme_unbinned_129,0,0,0.34018102,0,0,5.219058,0,0,0,0,0,3.187735,0,0.9588122,0,0,0,0,0,0,0,0,0,1.1194956,0.17858233,0,0.35797822,0.10403743,0.08898607,0,0,0,0,0.6348012,0,0,7.703346,0.14634395,0,0,0,0
ERR594359__vRhyme_unbinned_514,0,0,0.25824353,0,0,1.2438145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7147946,0,0.10451834,0.26943532,8.998752,0,0,0,0,0,0,0,3.2782686,0,0,0,0,0
ERR594364__vRhyme_unbinned_537,0,0,0,0,0,0,0,0,0,0,0,17.550762,0,0,0,0,0,0,0,0,0.44329897,0,0,21.4619,0,0,0.38110712,0,0,0,0,0,7.949686,0,0,0,0,0,0,0,0,0
ERR594353__vRhyme_unbinned_1100,0,0,0,0,0.7477726,1.8464223,0,0,0,0.13837604,0,0.44966474,3.249288,1.4949021,0,0,0,0,0,0,0,0.22875907,24.00698,0,0.11665289,0,46.77597,0,0.12170479,0,0,0,1.4833287,0,0,0,8.784652,0,0,0,0,0
ERR594391__vRhyme_unbinned_504,10.34003,0.07569618,7.988706,0,0.2039831,0.5609104,0,0,0.2683852,3.9892232,0,0.7033365,0.29373223,12.054574,0,4.5980687,0.16941115,0.44788343,0.40124148,0,1.1871713,0,1.4565048,4.4705577,0,0,0.36477283,3.9643934,0,0.64721096,0,0,0,1.2881283,0,0,0.2989913,1.0814725,0,0.41236314,0.3701181,0.18217088
ERR594411__vRhyme_unbinned_538,59.326073,4.7789416,24.5678,0,0,3.1049216,0,5.908796,0,40.804802,0.22615626,1.0397627,15.030216,2.4614885,0,0,0,0.29493,0.15627028,0,0,0,14.198442,0.22912225,1.3946612,0.61840767,5.070442,26.05487,0.5139494,0.4448976,8.636018,0,4.7747707,0,0,0.21577533,1.2483084,1.2255075,0,0.24404486,0,43.28084
